ID,Title,"Post Type",district_code,province_id
1017,"Quận Ba Đình",district,,347
1018,"Quận Hoàn Kiếm",district,,347
1019,"Quận Tây Hồ",district,,347
1020,"Quận Long Biên",district,,347
1021,"Quận Cầu Giấy",district,,347
1022,"Quận Đống Đa",district,,347
1023,"Quận Hai Bà Trưng",district,,347
1024,"Quận Hoàng Mai",district,,347
1025,"Quận Thanh Xuân",district,,347
1026,"Huyện Sóc Sơn",district,,347
1027,"Huyện Đông Anh",district,,347
1028,"Huyện Gia Lâm",district,,347
1029,"Quận Nam Từ Liêm",district,,347
1030,"Huyện Thạnh Trị",district,,399
1031,"Quận Bắc Từ Liêm",district,,347
1032,"Huyện Mê Linh",district,,347
1033,"Quận Hà Đông",district,,347
1034,"Thị xã Sơn Tây",district,,347
1035,"Huyện Ba Vì",district,,347
1036,"Huyện Phúc Thọ",district,,347
1037,"Huyện Đan Phượng",district,,347
1038,"Huyện Hoài Đức",district,,347
1039,"Huyện Quốc Oai",district,,347
1040,"Huyện Thạch Thất",district,,347
1041,"Huyện Chương Mỹ",district,,347
1042,"Huyện Thanh Oai",district,,347
1043,"Huyện Thường Tín",district,,347
1044,"Huyện Phú Xuyên",district,,347
1045,"Huyện Ứng Hòa",district,,347
1046,"Huyện Mỹ Đức",district,,347
1047,"Thị xã Hà Giang",district,,348
1048,"Huyện Đồng Văn",district,,348
1049,"Huyện Mèo Vạc",district,,348
1050,"Huyện Yên Minh",district,,348
1051,"Huyện Quản Bạ",district,,348
1052,"Huyện Vị Xuyên",district,,348
1053,"Huyện Bắc Mê",district,,348
1054,"Huyện Hoàng Su Phì",district,,348
1055,"Huyện Xín Mần",district,,348
1056,"Huyện Bắc Quang",district,,348
1057,"Huyện Quang Bình",district,,348
1058,"Cao Bằng",district,,349
1059,"Huyện Bảo Lâm",district,,390
1060,"Huyện Bảo Lạc",district,,349
1061,"Huyện Thông Nông",district,,349
1062,"Huyện Hà Quảng",district,,349
1063,"Huyện Trà Lĩnh",district,,349
1064,"Huyện Trùng Khánh",district,,349
1065,"Huyện Hạ Lang",district,,349
1066,"Huyện Quảng Uyên",district,,349
1067,"Huyện Phục Hoà",district,,349
1068,"Huyện Hoà An",district,,349
1069,"Huyện Nguyên Bình",district,,349
1070,"Huyện Thạch An",district,,349
1071,"Bắc Kạn",district,,350
1072,"Huyện Pác Nặm",district,,350
1073,"Huyện Ba Bể",district,,350
1074,"Huyện Ngân Sơn",district,,350
1075,"Huyện Bạch Thông",district,,350
1076,"Huyện Chợ Đồn",district,,350
1077,"Huyện Chợ Mới",district,,374
1078,"Huyện Na Rì",district,,350
1079,"Tuyên Quang",district,,351
1080,"Huyện Lâm Bình",district,,351
1081,"Huyện Nà Hang",district,,351
1082,"Huyện Chiêm Hóa",district,,351
1083,"Huyện Hàm Yên",district,,351
1084,"Huyện Yên Sơn",district,,351
1085,"Huyện Sơn Dương",district,,351
1086,"Lào Cai",district,,352
1087,"Huyện Bát Xát",district,,352
1088,"Huyện Mường Khương",district,,352
1089,"Huyện Si Ma Cai",district,,352
1090,"Huyện Bắc Hà",district,,352
1091,"Huyện Bảo Thắng",district,,352
1092,"Huyện Bảo Yên",district,,352
1093,"Huyện Sa Pa",district,,352
1094,"Huyện Văn Bàn",district,,352
1095,"Điện Biên Phủ",district,,353
1096,"Thị Xã Mường Lay",district,,353
1097,"Huyện Mường Nhé",district,,353
1098,"Huyện Mường Chà",district,,353
1099,"Huyện Tủa Chùa",district,,353
1100,"Huyện Tuần Giáo",district,,353
1101,"Huyện Điện Biên",district,,353
1102,"Huyện Điện Biên Đông",district,,353
1103,"Huyện Mường Ảng",district,,353
1104,"Huyện Nậm Pồ",district,,353
1105,"Lai Châu",district,,354
1106,"Huyện Tam Đường",district,,354
1107,"Huyện Mường Tè",district,,354
1108,"Huyện Sìn Hồ",district,,354
1109,"Huyện Phong Thổ",district,,354
1110,"Huyện Than Uyên",district,,354
1111,"Huyện Tân Uyên",district,,354
1112,"Huyện Nậm Nhùn",district,,354
1113,"Sơn La",district,,355
1114,"Huyện Quỳnh Nhai",district,,355
1115,"Huyện Thuận Châu",district,,355
1116,"Huyện Mường La",district,,355
1117,"Huyện Bắc Yên",district,,355
