"Phường Xã","province_id","district_id"
"Phường Phúc Xá","347","1017"
"Phường Trúc Bạch","347","1017"
"Phường Vĩnh Phúc","347","1017"
"Phường Cống Vị","347","1017"
"Phường Liễu Giai","347","1017"
"Phường Nguyễn Trung Trực","347","1017"
"Phường Quán Thánh","347","1017"
"Phường Ngọc Hà","347","1017"
"Phường Điện Biên","347","1017"
"Phường Đội Cấn","347","1017"
"Phường Ngọc Khánh","347","1017"
"Phường Kim Mã","347","1017"
"Phường Giảng Võ","347","1017"
"Phường Thành Công","347","1017"
"Phường Phúc Tân","347","1018"
"Phường Đồng Xuân","347","1018"
"Phường Hàng Mã","347","1018"
"Phường Hàng Buồm","347","1018"
"Phường Hàng Đào","347","1018"
"Phường Hàng Bồ","347","1018"
"Phường Cửa Đông","347","1018"
"Phường Lý Thái Tổ","347","1018"
"Phường Hàng Bạc","347","1018"
"Phường Hàng Gai","347","1018"
"Phường Chương Dương Độ","347","1018"
"Phường Hàng Trống","347","1018"
"Phường Cửa Nam","347","1018"
"Phường Hàng Bông","347","1018"
"Phường Tràng Tiền","347","1018"
"Phường Trần Hưng Đạo","347","1018"
"Phường Phan Chu Trinh","347","1018"
"Phường Hàng Bài","347","1018"
"Phường Phú Thượng","347","1019"
"Phường Nhật Tân","347","1019"
"Phường Tứ Liên","347","1019"
"Phường Quảng An","347","1019"
"Phường Xuân La","347","1019"
"Phường Yên Phụ","347","1019"
"Phường Bưởi","347","1019"
"Phường Thụy Khuê","347","1019"
"Phường Thượng Thanh","347","1020"
"Phường Ngọc Thụy","347","1020"
"Phường Giang Biên","347","1020"
"Phường Đức Giang","347","1020"
"Phường Việt Hưng","347","1020"
"Phường Gia Thụy","347","1020"
"Phường Ngọc Lâm","347","1020"
"Phường Phúc Lợi","347","1020"
"Phường Bồ Đề","347","1020"
"Phường Sài Đồng","347","1020"
"Phường Long Biên","347","1020"
"Phường Thạch Bàn","347","1020"
"Phường Phúc Đồng","347","1020"
"Phường Cự Khối","347","1020"
"Phường Nghĩa Đô","347","1021"
"Phường Nghĩa Tân","347","1021"
