"Thành Phố","Mã TP","Quận Huyện","Mã QH","Phường Xã","Mã PX"
"Hà Nội","01","Quận Ba Đình","001","Phường Phúc Xá","00001"
"Hà Nội","01","Quận Ba Đình","001","Phường Trúc Bạch","00004"
"Hà Nội","01","Quận Ba Đình","001","Phường Vĩnh Phúc","00006"
"Hà Nội","01","Quận Ba Đình","001","Phường Cống Vị","00007"
"Hà Nội","01","Quận Ba Đình","001","Phường Liễu Giai","00008"
"Hà Nội","01","Quận Ba Đình","001","Phường Nguyễn Trung Trực","00010"
"Hà Nội","01","Quận Ba Đình","001","Phường Quán Thánh","00013"
"Hà Nội","01","Quận Ba Đình","001","Phường Ngọc Hà","00016"
"Hà Nội","01","Quận Ba Đình","001","Phường Điện Biên","00019"
"Hà Nội","01","Quận Ba Đình","001","Phường Đội Cấn","00022"
"Hà Nội","01","Quận Ba Đình","001","Phường Ngọc Khánh","00025"
"Hà Nội","01","Quận Ba Đình","001","Phường Kim Mã","00028"
"Hà Nội","01","Quận Ba Đình","001","Phường Giảng Võ","00031"
"Hà Nội","01","Quận Ba Đình","001","Phường Thành Công","00034"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Phúc Tân","00037"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Đồng Xuân","00040"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Hàng Mã","00043"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Hàng Buồm","00046"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Hàng Đào","00049"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Hàng Bồ","00052"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Cửa Đông","00055"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Lý Thái Tổ","00058"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Hàng Bạc","00061"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Hàng Gai","00064"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Chương Dương Độ","00067"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Hàng Trống","00070"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Cửa Nam","00073"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Hàng Bông","00076"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Tràng Tiền","00079"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Trần Hưng Đạo","00082"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Phan Chu Trinh","00085"
"Hà Nội","01","Quận Hoàn Kiếm","002","Phường Hàng Bài","00088"
"Hà Nội","01","Quận Tây Hồ","003","Phường Phú Thượng","00091"
"Hà Nội","01","Quận Tây Hồ","003","Phường Nhật Tân","00094"
"Hà Nội","01","Quận Tây Hồ","003","Phường Tứ Liên","00097"
"Hà Nội","01","Quận Tây Hồ","003","Phường Quảng An","00100"
"Hà Nội","01","Quận Tây Hồ","003","Phường Xuân La","00103"
"Hà Nội","01","Quận Tây Hồ","003","Phường Yên Phụ","00106"
"Hà Nội","01","Quận Tây Hồ","003","Phường Bưởi","00109"
"Hà Nội","01","Quận Tây Hồ","003","Phường Thụy Khuê","00112"
"Hà Nội","01","Quận Long Biên","004","Phường Thượng Thanh","00115"
"Hà Nội","01","Quận Long Biên","004","Phường Ngọc Thụy","00118"
"Hà Nội","01","Quận Long Biên","004","Phường Giang Biên","00121"
"Hà Nội","01","Quận Long Biên","004","Phường Đức Giang","00124"
"Hà Nội","01","Quận Long Biên","004","Phường Việt Hưng","00127"
"Hà Nội","01","Quận Long Biên","004","Phường Gia Thụy","00130"
"Hà Nội","01","Quận Long Biên","004","Phường Ngọc Lâm","00133"
"Hà Nội","01","Quận Long Biên","004","Phường Phúc Lợi","00136"
"Hà Nội","01","Quận Long Biên","004","Phường Bồ Đề","00139"
"Hà Nội","01","Quận Long Biên","004","Phường Sài Đồng","00142"
"Hà Nội","01","Quận Long Biên","004","Phường Long Biên","00145"
"Hà Nội","01","Quận Long Biên","004","Phường Thạch Bàn","00148"
"Hà Nội","01","Quận Long Biên","004","Phường Phúc Đồng","00151"
"Hà Nội","01","Quận Long Biên","004","Phường Cự Khối","00154"
"Hà Nội","01","Quận Cầu Giấy","005","Phường Nghĩa Đô","00157"
"Hà Nội","01","Quận Cầu Giấy","005","Phường Nghĩa Tân","00160"
"Hà Nội","01","Quận Cầu Giấy","005","Phường Mai Dịch","00163"
"Hà Nội","01","Quận Cầu Giấy","005","Phường Dịch Vọng","00166"
"Hà Nội","01","Quận Cầu Giấy","005","Phường Dịch Vọng Hậu","00167"
"Hà Nội","01","Quận Cầu Giấy","005","Phường Quan Hoa","00169"
"Hà Nội","01","Quận Cầu Giấy","005","Phường Yên Hoà","00172"
