"Quận Huyện","province_id"
"Quận Ba Đình","347"
"Quận Hoàn Kiếm","347"
"Quận Tây Hồ","347"
"Quận Long Biên","347"
"Quận Cầu Giấy","347"
"Quận Đống Đa","347"
"Quận Hai Bà Trưng","347"
"Quận Hoàng Mai","347"
"Quận Thanh Xuân","347"
"Huyện Sóc Sơn","347"
"Huyện Đông Anh","347"
"Huyện Gia Lâm","347"
"Quận Nam Từ Liêm","347"
"Huyện Thanh Trì","347"
"Quận Bắc Từ Liêm","347"
"Huyện Mê Linh","347"
"Quận Hà Đông","347"
"Thị xã Sơn Tây","347"
"Huyện Ba Vì","347"
"Huyện Phúc Thọ","347"
"Huyện Đan Phượng","347"
"Huyện Hoài Đức","347"
"Huyện Quốc Oai","347"
"Huyện Thạch Thất","347"
"Huyện Chương Mỹ","347"
"Huyện Thanh Oai","347"
"Huyện Thường Tín","347"
"Huyện Phú Xuyên","347"
"Huyện Ứng Hòa","347"
"Huyện Mỹ Đức","347"
"Thị xã Hà Giang","348"
"Huyện Đồng Văn","348"
"Huyện Mèo Vạc","348"
"Huyện Yên Minh","348"
"Huyện Quản Bạ","348"
"Huyện Vị Xuyên","348"
"Huyện Bắc Mê","348"
"Huyện Hoàng Su Phì","348"
"Huyện Xín Mần","348"
"Huyện Bắc Quang","348"
"Huyện Quang Bình","348"
"Cao Bằng","349"
"Huyện Bảo Lâm","349"
"Huyện Bảo Lạc","349"
"Huyện Thông Nông","349"
"Huyện Hà Quảng","349"
"Huyện Trà Lĩnh","349"
"Huyện Trùng Khánh","349"
"Huyện Hạ Lang","349"
"Huyện Quảng Uyên","349"
"Huyện Phục Hoà","349"
"Huyện Hoà An","349"
"Huyện Nguyên Bình","349"
"Huyện Thạch An","349"
"Bắc Kạn","350"
"Huyện Pác Nặm","350"
"Huyện Ba Bể","350"
"Huyện Ngân Sơn","350"
"Huyện Bạch Thông","350"
"Huyện Chợ Đồn","350"
"Huyện Chợ Mới","350"
"Huyện Na Rì","350"
"Tuyên Quang","351"
"Huyện Lâm Bình","351"
"Huyện Nà Hang","351"
"Huyện Chiêm Hóa","351"
"Huyện Hàm Yên","351"
"Huyện Yên Sơn","351"
"Huyện Sơn Dương","351"
"Lào Cai","352"
"Huyện Bát Xát","352"
"Huyện Mường Khương","352"
"Huyện Si Ma Cai","352"
"Huyện Bắc Hà","352"
"Huyện Bảo Thắng","352"
"Huyện Bảo Yên","352"
"Huyện Sa Pa","352"
"Huyện Văn Bàn","352"
"Điện Biên Phủ","353"
"Thị Xã Mường Lay","353"
"Huyện Mường Nhé","353"
"Huyện Mường Chà","353"
"Huyện Tủa Chùa","353"
"Huyện Tuần Giáo","353"
"Huyện Điện Biên","353"
"Huyện Điện Biên Đông","353"
"Huyện Mường Ảng","353"
"Huyện Nậm Pồ","353"
"Lai Châu","354"
"Huyện Tam Đường","354"
"Huyện Mường Tè","354"
"Huyện Sìn Hồ","354"
"Huyện Phong Thổ","354"
"Huyện Than Uyên","354"
"Huyện Tân Uyên","354"
"Huyện Nậm Nhùn","354"
"Sơn La","355"
"Huyện Quỳnh Nhai","355"
"Huyện Thuận Châu","355"
"Huyện Mường La","355"
"Huyện Bắc Yên","355"
"Huyện Phù Yên","355"
"Huyện Mộc Châu","355"
"Huyện Yên Châu","355"
"Huyện Mai Sơn","355"
"Huyện Sông Mã","355"
"Huyện Sốp Cộp","355"
"Huyện Vân Hồ","355"
"Yên Bái","356"
"Thị xã Nghĩa Lộ","356"
"Huyện Lục Yên","356"
"Huyện Văn Yên","356"
"Huyện Mù Căng Chải","356"
"Huyện Trấn Yên","356"
"Huyện Trạm Tấu","356"
"Huyện Văn Chấn","356"
"Huyện Yên Bình","356"
"Hòa Bình","357"
"Huyện Đà Bắc","357"
"Huyện Kỳ Sơn","357"
"Huyện Lương Sơn","357"
"Huyện Kim Bôi","357"
"Huyện Cao Phong","357"
"Huyện Tân Lạc","357"
"Huyện Mai Châu","357"
"Huyện Lạc Sơn","357"
"Huyện Yên Thủy","357"
"Huyện Lạc Thủy","357"
"Thái Nguyên","358"
"Sông Công","358"
"Huyện Định Hóa","358"
"Huyện Phú Lương","358"
"Huyện Đồng Hỷ","358"
"Huyện Võ Nhai","358"
"Huyện Đại Từ","358"
"Thị xã Phổ Yên","358"
"Huyện Phú Bình","358"
"Lạng Sơn","359"
"Huyện Tràng Định","359"
"Huyện Bình Gia","359"
"Huyện Văn Lãng","359"
"Huyện Cao Lộc","359"
"Huyện Văn Quan","359"
"Huyện Bắc Sơn","359"
"Huyện Hữu Lũng","359"
"Huyện Chi Lăng","359"
"Huyện Lộc Bình","359"
"Huyện Đình Lập","359"
"Hạ Long","360"
"Móng Cái","360"
"Cẩm Phả","360"
"Uông Bí","360"
"Huyện Bình Liêu","360"
"Huyện Tiên Yên","360"
"Huyện Đầm Hà","360"
"Huyện Hải Hà","360"
"Huyện Ba Chẽ","360"
"Huyện Vân Đồn","360"
"Huyện Hoành Bồ","360"
"Thị xã Đông Triều","360"
"Thị xã Quảng Yên","360"
"Huyện Cô Tô","360"
"Bắc Giang","361"
"Huyện Yên Thế","361"
"Huyện Tân Yên","361"
"Huyện Lạng Giang","361"
"Huyện Lục Nam","361"
"Huyện Lục Ngạn","361"
"Huyện Sơn Động","361"
"Huyện Yên Dũng","361"
"Huyện Việt Yên","361"
"Huyện Hiệp Hòa","361"
"Việt Trì","362"
"Thị xã Phú Thọ","362"
"Huyện Đoan Hùng","362"
"Huyện Hạ Hoà","362"
"Huyện Thanh Ba","362"
"Huyện Phù Ninh","362"
"Huyện Yên Lập","362"
"Huyện Cẩm Khê","362"
"Huyện Tam Nông","362"
"Huyện Lâm Thao","362"
"Huyện Thanh Sơn","362"
"Huyện Thanh Thuỷ","362"
"Huyện Tân Sơn","362"
"Vĩnh Yên","363"
"Thị xã Phúc Yên","363"
"Huyện Lập Thạch","363"
"Huyện Tam Dương","363"
"Huyện Tam Đảo","363"
"Huyện Bình Xuyên","363"
"Huyện Yên Lạc","363"
"Huyện Vĩnh Tường","363"
"Huyện Sông Lô","363"
"Bắc Ninh","364"
"Huyện Yên Phong","364"
"Huyện Quế Võ","364"
"Huyện Tiên Du","364"
"Thị xã Từ Sơn","364"
"Huyện Thuận Thành","364"
"Huyện Gia Bình","364"
"Huyện Lương Tài","364"
"Hải Dương","365"
"Thị xã Chí Linh","365"
"Huyện Nam Sách","365"
"Huyện Kinh Môn","365"
"Huyện Kim Thành","365"
"Huyện Thanh Hà","365"
"Huyện Cẩm Giàng","365"
"Huyện Bình Giang","365"
"Huyện Gia Lộc","365"
"Huyện Tứ Kỳ","365"
"Huyện Ninh Giang","365"
"Huyện Thanh Miện","365"
"Quận Hồng Bàng","366"
"Quận Ngô Quyền","366"
"Quận Lê Chân","366"
"Quận Hải An","366"
"Quận Kiến An","366"
"Quận Đồ Sơn","366"
"Quận Dương Kinh","366"
"Huyện Thuỷ Nguyên","366"
"Huyện An Dương","366"
"Huyện An Lão","366"
"Huyện Kiến Thuỵ","366"
"Huyện Tiên Lãng","366"
"Huyện Vĩnh Bảo","366"
"Huyện Cát Hải","366"
"Hưng Yên","367"
"Huyện Văn Lâm","367"
"Huyện Văn Giang","367"
"Huyện Yên Mỹ","367"
"Huyện Mỹ Hào","367"
"Huyện Ân Thi","367"
"Huyện Khoái Châu","367"
"Huyện Kim Động","367"
"Huyện Tiên Lữ","367"
"Huyện Phù Cừ","367"
"Thái Bình","368"
"Huyện Quỳnh Phụ","368"
"Huyện Hưng Hà","368"
"Huyện Đông Hưng","368"
"Huyện Thái Thụy","368"
"Huyện Tiền Hải","368"
"Huyện Kiến Xương","368"
"Huyện Vũ Thư","368"
"Phủ Lý","369"
"Huyện Duy Tiên","369"
"Huyện Kim Bảng","369"
"Huyện Thanh Liêm","369"
"Huyện Bình Lục","369"
"Huyện Lý Nhân","369"
"Nam Định","394"
"Huyện Mỹ Lộc","394"
"Huyện Vụ Bản","394"
"Huyện Ý Yên","394"
"Huyện Nghĩa Hưng","394"
"Huyện Nam Trực","394"
"Huyện Trực Ninh","394"
"Huyện Xuân Trường","394"
"Huyện Giao Thủy","394"
"Huyện Hải Hậu","394"
"Ninh Bình","392"
"Tam Điệp","392"
"Huyện Nho Quan","392"
"Huyện Gia Viễn","392"
"Huyện Hoa Lư","392"
"Huyện Yên Khánh","392"
"Huyện Kim Sơn","392"
"Huyện Yên Mô","392"
"Thanh Hóa","384"
"Thị xã Bỉm Sơn","384"
"Sầm Sơn","384"
"Huyện Mường Lát","384"
"Huyện Quan Hóa","384"
"Huyện Bá Thước","384"
"Huyện Quan Sơn","384"
"Huyện Lang Chánh","384"
"Huyện Ngọc Lặc","384"
"Huyện Cẩm Thủy","384"
"Huyện Thạch Thành","384"
"Huyện Hà Trung","384"
"Huyện Vĩnh Lộc","384"
"Huyện Yên Định","384"
"Huyện Thọ Xuân","384"
"Huyện Thường Xuân","384"
"Huyện Triệu Sơn","384"
"Huyện Thiệu Hóa","384"
"Huyện Hoằng Hóa","384"
"Huyện Hậu Lộc","384"
"Huyện Nga Sơn","384"
"Huyện Như Xuân","384"
"Huyện Như Thanh","384"
"Huyện Nông Cống","384"
"Huyện Đông Sơn","384"
"Huyện Quảng Xương","384"
"Huyện Tĩnh Gia","384"
"Vinh","391"
"Thị xã Cửa Lò","391"
"Thị xã Thái Hoà","391"
"Huyện Quế Phong","391"
"Huyện Quỳ Châu","391"
"Huyện Kỳ Sơn","391"
"Huyện Tương Dương","391"
"Huyện Nghĩa Đàn","391"
"Huyện Quỳ Hợp","391"
"Huyện Quỳnh Lưu","391"
"Huyện Con Cuông","391"
