"ID","Title","Post Type","district_code","province_id"
"1017","Quận Ba Đình","district","00001","347"
"1018","Quận Hoàn Kiếm","district","00002","347"
"1019","Quận Tây Hồ","district","00003","347"
"1020","Quận Long Biên","district","00004","347"
"1021","Quận Cầu Giấy","district","00005","347"
"1022","Quận Đống Đa","district","00006","347"
"1023","Quận Hai Bà Trưng","district","00007","347"
"1024","Quận Hoàng Mai","district","00008","347"
"1025","Quận Thanh Xuân","district","00009","347"
"1026","Huyện Sóc Sơn","district","00010","347"
"1027","Huyện Đông Anh","district","00011","347"
"1028","Huyện Gia Lâm","district","00012","347"
"1029","Quận Nam Từ Liêm","district","00013","347"
"1030","Huyện Thạnh Trị","district","00014","399"
"1031","Quận Bắc Từ Liêm","district","00015","347"
"1032","Huyện Mê Linh","district","00016","347"
"1033","Quận Hà Đông","district","00017","347"
"1034","Thị xã Sơn Tây","district","00018","347"
"1035","Huyện Ba Vì","district","00019","347"
"1036","Huyện Phúc Thọ","district","00020","347"
"1037","Huyện Đan Phượng","district","00021","347"
"1038","Huyện Hoài Đức","district","00022","347"
"1039","Huyện Quốc Oai","district","00023","347"
"1040","Huyện Thạch Thất","district","00024","347"
"1041","Huyện Chương Mỹ","district","00025","347"
"1042","Huyện Thanh Oai","district","00026","347"
"1043","Huyện Thường Tín","district","00027","347"
"1044","Huyện Phú Xuyên","district","00028","347"
"1045","Huyện Ứng Hòa","district","00029","347"
"1046","Huyện Mỹ Đức","district","00030","347"
"1047","Thị xã Hà Giang","district","00031","348"
"1048","Huyện Đồng Văn","district","00032","348"
"1049","Huyện Mèo Vạc","district","00033","348"
"1050","Huyện Yên Minh","district","00034","348"
"1051","Huyện Quản Bạ","district","00035","348"
"1052","Huyện Vị Xuyên","district","00036","348"
"1053","Huyện Bắc Mê","district","00037","348"
"1054","Huyện Hoàng Su Phì","district","00038","348"
"1055","Huyện Xín Mần","district","00039","348"
"1056","Huyện Bắc Quang","district","00040","348"
"1057","Huyện Quang Bình","district","00041","348"
"1058","TP Cao Bằng","district","00042","349"
"1059","Huyện Bảo Lâm","district","00043","390"
"1060","Huyện Bảo Lạc","district","00044","349"
"1061","Huyện Thông Nông","district","00045","349"
"1062","Huyện Hà Quảng","district","00046","349"
"1063","Huyện Trà Lĩnh","district","00047","349"
"1064","Huyện Trùng Khánh","district","00048","349"
"1065","Huyện Hạ Lang","district","00049","349"
"1066","Huyện Quảng Uyên","district","00050","349"
"1067","Huyện Phục Hoà","district","00051","349"
